letter,percent,errors,total
""" """,0.450450,1,222
"""a""",7.228916,6,83
"""b""",9.523810,2,21
"""c""",4.000000,2,50
"""d""",3.571429,1,28
"""e""",2.083333,3,144
"""f""",5.714286,2,35
"""g""",14.814815,4,27
"""h""",1.886792,1,53
"""i""",1.111111,1,90
"""j""",0.000000,0,6
"""k""",0.000000,0,8
"""l""",0.000000,0,41
"""m""",3.571429,1,28
"""n""",1.315789,1,76
"""o""",3.614458,3,83
"""p""",3.846154,1,26
"""r""",4.000000,3,75
"""s""",4.938272,4,81
"""t""",1.960784,2,102
"""u""",9.090909,3,33
"""v""",0.000000,0,21
"""w""",4.347826,1,23
"""y""",0.000000,0,32
"""z""",0.000000,0,2
