letter,percent,errors,total
""" """,0.000000,0,103
"""a""",2.272727,1,44
"""b""",0.000000,0,6
"""c""",7.142857,1,14
"""d""",0.000000,0,8
"""e""",1.492537,1,67
"""f""",0.000000,0,11
"""g""",15.789474,3,19
"""h""",0.000000,0,28
"""i""",2.127660,1,47
"""j""",0.000000,0,3
"""k""",0.000000,0,4
"""l""",0.000000,0,20
"""m""",0.000000,0,12
"""n""",3.225806,1,31
"""o""",9.375000,3,32
"""p""",0.000000,0,14
"""q""",0.000000,0,1
"""r""",0.000000,0,27
"""s""",0.000000,0,26
"""t""",8.928571,5,56
"""u""",0.000000,0,11
"""v""",9.090909,1,11
"""w""",0.000000,0,22
"""y""",0.000000,0,16
