ngram,monogram_delta_mean,monogram_delta_median,bigram_delta_mean,bigram_delta_median
"""m""",8868.655172413793,1160,-1,-1
"""y""",3365.676470588235,1376.5,-1,-1
""" """,949.3922413793103,752.0,-1,-1
"""i""",1791.2631578947369,783,-1,-1
"""\n""",1127.3846153846155,1077.0,-1,-1
"""p""",5446.413793103448,1442,-1,-1
"""c""",3184.673076923077,1260.0,-1,-1
"""h""",1964.7272727272727,1098,-1,-1
"""f""",1361.7567567567567,1168,-1,-1
"""q""",2224.0,2224,-1,-1
"""l""",1650.468085106383,1099.0,-1,-1
"""n""",1855.9866666666667,1574,-1,-1
"""t""",5790.980198019802,1178,-1,-1
"""e""",1853.7793103448275,1368,-1,-1
"""w""",3119.0,1296,-1,-1
"""r""",1513.2054794520548,1082,-1,-1
"""v""",1559.857142857143,1401,-1,-1
"""a""",1500.974025974026,1087,-1,-1
"""g""",2484.923076923077,1691.5,-1,-1
"""d""",2135.6071428571427,1171.5,-1,-1
"""o""",1547.75,1257.5,-1,-1
"""s""",2067.230769230769,1467.0,-1,-1
"""b""",2696.8,1728.0,-1,-1
"""u""",1427.2903225806451,1360,-1,-1
"""k""",2508.25,1659.5,-1,-1
"""z""",1772.6666666666667,1758,-1,-1
"""j""",1389.1666666666667,1213.5,-1,-1
"""my""",-1,-1,24294.8,14289.0
"""y """,-1,-1,3116.4285714285716,2115.0
""" i""",-1,-1,1941.2941176470588,1649
"""i\n""",-1,-1,2971.6666666666665,2170
"""\nm""",-1,-1,6576.5,5802.0
"""mp""",-1,-1,22344.0,22344
"""pc""",-1,-1,19022.0,19022
"""ch""",-1,-1,2683.9166666666665,2491.5
"""h """,-1,-1,2587.625,2012.5
""" f""",-1,-1,2407.9411764705883,1905
"""fq""",-1,-1,3416.0,3416
"""ql""",-1,-1,3384.0,3384
"""ll""",-1,-1,2566.8571428571427,2328.5
"""l """,-1,-1,2145.75,2047.5
"""in""",-1,-1,2875.185185185185,2464
"""n """,-1,-1,2812.125,2368.0
""" t""",-1,-1,2523.84,1926
"""th""",-1,-1,11677.333333333334,2312
"""he""",-1,-1,4690.227272727273,2763.0
"""e """,-1,-1,2408.630769230769,2199
""" w""",-1,-1,2131.3636363636365,2048
"""wl""",-1,-1,2704.5,2704.5
"""lt""",-1,-1,4002.5,4002.5
"""tl""",-1,-1,2810.6666666666665,1728
"""lr""",-1,-1,3070.0,3358
"""re""",-1,-1,4245.428571428572,2601.5
"""ev""",-1,-1,3968.8,2922
"""va""",-1,-1,4624.0,4624
"""ai""",-1,-1,2853.75,2520.0
"""il""",-1,-1,2029.2,1952
"""li""",-1,-1,4903.333333333333,2280.0
"""ng""",-1,-1,4116.615384615385,3289
"""g """,-1,-1,3107.625,2891.5
"""wi""",-1,-1,2031.8,2056
"""nd""",-1,-1,4363.333333333333,3817.5
"""d """,-1,-1,2761.25,2356.5
""" l""",-1,-1,2112.5833333333335,1820.5
"""lf""",-1,-1,3511.0,3511
"""fr""",-1,-1,3247.0,3247.0
"""ro""",-1,-1,2776.0,2931.5
"""o\n""",-1,-1,2827.5,2827.5
"""m """,-1,-1,3000.5,3000.5
""" e""",-1,-1,3158.375,2219.5
"""ea""",-1,-1,3458.0,2848.0
"""as""",-1,-1,3572.4,2399
"""st""",-1,-1,3682.5789473684213,3239
"""bb""",-1,-1,9403.0,9403
"""br""",-1,-1,7526.666666666667,6006
"""at""",-1,-1,2929.733333333333,2490
"""hi""",-1,-1,2817.75,1859.5
"""is""",-1,-1,3187.3529411764707,2511
"""s """,-1,-1,3078.875,2632.5
""" d""",-1,-1,2156.0,1855.5
"""di""",-1,-1,2948.5,2948.5
"""ii""",-1,-1,2334.5,2334.5
"""if""",-1,-1,10096.25,11715.5
"""fc""",-1,-1,3778.0,3778
"""cw""",-1,-1,2728.0,2728.0
"""i """,-1,-1,15073.5,14842.0
""" c""",-1,-1,2420.0,2265.5
"""ca""",-1,-1,31292.0,31292.0
"""an""",-1,-1,2985.1875,2732.5
""" s""",-1,-1,2723.695652173913,2368
"""se""",-1,-1,2733.25,2619.0
"""ee""",-1,-1,3211.1428571428573,2674
""" r""",-1,-1,2013.1,1617.0
"""ri""",-1,-1,1845.909090909091,1727
"""\ng""",-1,-1,4670.5,4670.5
"""gs""",-1,-1,4092.5,3088.5
""" o""",-1,-1,2270.3076923076924,2008.5
"""on""",-1,-1,3686.714285714286,3118
"""sa""",-1,-1,3896.3333333333335,3799
"""tu""",-1,-1,2482.6666666666665,2454
"""ur""",-1,-1,2906.3333333333335,2275.0
"""rn""",-1,-1,3530.0,3530.0
"""ph""",-1,-1,5686.75,2889.5
"""hy""",-1,-1,4988.0,4988.0
"""ys""",-1,-1,6523.0,6523.0
"""si""",-1,-1,3008.25,2272.0
"""ig""",-1,-1,2624.5,2624.5
""" a""",-1,-1,2523.875,2055.5
"""em""",-1,-1,2562.6666666666665,2649
"""mi""",-1,-1,1847.25,1735.5
"""tr""",-1,-1,3536.0,3536.0
"""ry""",-1,-1,5315.25,5040.5
"""ar""",-1,-1,2220.875,2245.0
""" h""",-1,-1,2470.8,2665
"""ha""",-1,-1,2176.4,2159
"""rd""",-1,-1,2374.0,2362
""" b""",-1,-1,2989.222222222222,2449
"""bl""",-1,-1,3150.0,2697
"""ln""",-1,-1,3012.25,3096.5
"""nk""",-1,-1,4286.0,4289
"""k """,-1,-1,3903.0,3161
"""ag""",-1,-1,3738.6666666666665,2817
"""gc""",-1,-1,2616.0,2616
"""cc""",-1,-1,2769.4,2776
"""co""",-1,-1,3232.3333333333335,2800
"""ou""",-1,-1,3103.230769230769,2928
"""un""",-1,-1,2765.0,2592
"""nt""",-1,-1,3554.0,3804.0
"""t """,-1,-1,2562.181818181818,1936.0
"""ov""",-1,-1,2981.0,2414
"""ve""",-1,-1,3120.25,2676.5
"""er""",-1,-1,3028.3,2391.5
"""dr""",-1,-1,2802.0,2802
"""ra""",-1,-1,2816.0,2436.5
"""aw""",-1,-1,2613.5,2613.5
"""wn""",-1,-1,4927.5,4927.5
"""le""",-1,-1,4134.0,2884.5
"""ec""",-1,-1,2781.4,2367
"""ct""",-1,-1,3099.6666666666665,2879.5
"""ti""",-1,-1,27956.285714285714,2512
"""io""",-1,-1,2223.0,2223
"""ns""",-1,-1,3139.0,3089
"""ut""",-1,-1,3550.25,2616.5
"""es""",-1,-1,3325.5,3363.5
"""we""",-1,-1,7780.666666666667,4833.5
"""oi""",-1,-1,2713.0,2713
"""ia""",-1,-1,2712.0,2712
"""av""",-1,-1,2406.2,2392
"""vi""",-1,-1,2153.8333333333335,2137.0
"""sp""",-1,-1,2883.5,2883.5
"""pa""",-1,-1,2880.0,2880
"""gh""",-1,-1,2616.0,2616
"""et""",-1,-1,2652.0,2652.0
"""im""",-1,-1,2508.5,2508.5
"""ml""",-1,-1,2784.0,2784
