ngram,monogram_delta_mean,monogram_delta_median,bigram_delta_mean,bigram_delta_median
"""m""",960.6666666666666,1176.0,-1,-1
"""y""",1518.3181818181818,1424.0,-1,-1
""" """,875.0967741935484,776,-1,-1
"""w""",1334997.3414634147,1265,-1,-1
"""a""",1264.1511627906978,1027.0,-1,-1
"""t""",1036.2753623188405,1040,-1,-1
"""c""",1308.2083333333333,1096.5,-1,-1
"""h""",1512.235294117647,1091.0,-1,-1
"""f""",1527.0555555555557,1304.5,-1,-1
"""e""",1791.8383838383838,1279,-1,-1
"""l""",1304.1714285714286,920,-1,-1
"""i""",-3836.867469879518,847,-1,-1
"""n""",2184.7872340425533,1688,-1,-1
"""r""",1310.0,1136.0,-1,-1
"""p""",2781.0588235294117,1322,-1,-1
"""v""",-7004.363636363636,1480,-1,-1
"""g""",1912.0555555555557,1696.0,-1,-1
"""d""",2011.0,1481,-1,-1
"""o""",1643.875,1217.0,-1,-1
"""s""",1855.0285714285715,1344,-1,-1
"""b""",1695.5,1776.5,-1,-1
"""u""",1495.75,1415.0,-1,-1
"""j""",1157.8333333333333,1159.0,-1,-1
"""k""",3548.0,4051,-1,-1
"""\n""",951.0588235294117,790,-1,-1
"""q""",1360.0,1360,-1,-1
"""my""",-1,-1,4402.625,3448.0
"""y """,-1,-1,2217.0833333333335,2304.0
""" w""",-1,-1,2012.6538461538462,1884.0
"""wa""",-1,-1,3434.125,2260.0
"""at""",-1,-1,2499.125,1999.5
"""tc""",-1,-1,3290.6666666666665,2280
"""ch""",-1,-1,2384.3333333333335,2416
"""h """,-1,-1,2003.5555555555557,1920
""" f""",-1,-1,2429.5,2236.0
"""fe""",-1,-1,3768.0,2564.5
"""el""",-1,-1,2961.0,2368.0
"""ll""",-1,-1,1706.3333333333333,1760
"""l """,-1,-1,1602.8,1552
""" i""",-1,-1,1662.0,1536
"""in""",-1,-1,3231.4827586206898,2688
"""n """,-1,-1,2722.1111111111113,2280
""" t""",-1,-1,1922.0,1735.5
"""th""",-1,-1,959.25,2023.5
"""he""",-1,-1,3140.6666666666665,2488.0
"""e """,-1,-1,2363.8936170212764,1887
"""te""",-1,-1,2370.0,2176
"""er""",-1,-1,2974.875,3199.5
"""pr""",-1,-1,7541.6,8138
"""re""",-1,-1,3004.0,3004.0
"""ev""",-1,-1,4960.0,4960.0
"""va""",-1,-1,-20360.0,4808.0
"""ai""",-1,-1,2586.0,2311.0
"""il""",-1,-1,4323.5,1872.0
"""li""",-1,-1,2236.714285714286,2080
"""ng""",-1,-1,3543.1111111111113,3416
"""g """,-1,-1,2843.4,2777
"""wi""",-1,-1,3408.0,2712
"""nd""",-1,-1,3440.25,3169.0
"""d """,-1,-1,3027.285714285714,3192
"""fr""",-1,-1,2888.0,2888.0
"""ro""",-1,-1,2683.75,2569.5
"""om""",-1,-1,2799.0,2799.0
"""m """,-1,-1,677.5,2199.0
""" e""",-1,-1,2205.625,2000.5
"""ea""",-1,-1,4575.181818181818,2706
"""aa""",-1,-1,3966.0,3966.0
"""as""",-1,-1,4269.0,4503.5
"""st""",-1,-1,3444.5714285714284,3152
""" y""",-1,-1,3320.5,3320.5
