attemptID,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
target,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56dcc74e-e68d-4dd8-99ca-ea968cd35e1f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fe12254c-a819-44c7-bd38-b654f027b1ec,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1
03b7346e-ff23-42c4-9bed-43b071b7fe96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b9d6909d-734a-4350-ac89-044fe9cf1517,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81e1ecb5-22c9-4458-915b-942198eb88f1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1
54c8d544-4bcc-4126-b651-f29348c2ae28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1
54c8d544-4bcc-4126-b651-f29348c2ae28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1
043646ef-8e03-4cfa-ae9f-074c61ebd804,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
043646ef-8e03-4cfa-ae9f-074c61ebd804,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
043646ef-8e03-4cfa-ae9f-074c61ebd804,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7daabedc-4ef5-4cb9-b06d-913d52853c47,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2
5bdfeaf3-57ef-4854-a326-09e012239632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
366b2567-6664-4351-8629-f8bdecca0cc3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
262a1897-13f6-4be3-86f4-7ae014d4034b,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
012ac2b8-7e39-47d1-a820-0fbaa053c7c5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1
54b310d6-e347-4c03-b509-e58898bbf0af,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
